Use springsession;
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (1, 1, '2023-01-01', 10);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (2, 2, '2023-01-02', 8);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (3, 3, '2023-01-03', 15);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (4, 4, '2023-01-04', 12);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (5, 5, '2023-01-05', 9);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (6, 6, '2023-01-06', 7);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (7, 7, '2023-01-07', 11);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (8, 8, '2023-01-08', 14);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (9, 9, '2023-01-09', 6);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (10, 10, '2023-01-10', 13);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (11, 11, '2023-01-11', 10);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (12, 12, '2023-01-12', 8);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (13, 13, '2023-01-13', 15);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (14, 14, '2023-01-14', 12);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (15, 15, '2023-01-15', 9);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (16, 16, '2023-01-16', 7);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (17, 17, '2023-01-17', 11);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (18, 18, '2023-01-18', 14);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (19, 19, '2023-01-19', 6);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (20, 20, '2023-01-20', 13);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (22, 21, '2023-01-22', 8);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (23, 22, '2023-01-23', 15);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (24, 23, '2023-01-24', 12);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (25, 24, '2023-01-25', 9);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (26, 25, '2023-01-26', 7);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (27, 26, '2023-01-27', 11);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (28, 27, '2023-01-28', 14);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (29, 28, '2023-01-29', 6);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (30, 29, '2023-01-30', 13);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (31, 30, '2023-01-31', 10);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (32, 31, '2023-02-01', 8);
INSERT INTO publicacion (id_publicacion, inmueble_id, fecha_publicacion, vistas) VALUES (33, 32, '2023-02-02', 15);
